NodeCount,Iteration,ConsensusLatency_ms
4,1,43.42
4,2,50.58
4,3,40.56
4,4,46.99
4,5,39.89
4,6,44.88
4,7,45.16
4,8,43.89
4,9,48.95
4,10,41.81
4,11,49.85
4,12,41.81
4,13,48.87
4,14,50.18
4,15,40.97
4,16,47.87
4,17,45.88
4,18,40.49
4,19,41.00
4,20,42.93
4,21,39.88
4,22,40.58
4,23,43.53
4,24,40.57
4,25,45.56
4,26,49.31
4,27,40.82
4,28,46.04
4,29,48.45
4,30,42.39
4,31,40.89
4,32,49.87
4,33,48.01
4,34,42.81
4,35,42.32
4,36,48.87
4,37,42.56
4,38,43.87
4,39,47.45
4,40,48.42
4,41,45.39
4,42,41.19
4,43,46.80
4,44,47.19
4,45,49.90
4,46,41.48
4,47,41.16
4,48,46.53
4,49,45.88
4,50,39.65
4,51,49.60
4,52,42.65
4,53,48.25
4,54,40.96
4,55,48.08
4,56,42.16
4,57,40.64
4,58,42.81
4,59,40.51
4,60,48.61
4,61,42.56
4,62,48.61
4,63,40.36
4,64,49.55
4,65,39.89
4,66,42.92
4,67,41.04
4,68,44.90
4,69,40.10
4,70,48.44
4,71,46.38
4,72,42.97
4,73,43.88
4,74,43.42
4,75,49.86
4,76,41.02
4,77,47.95
4,78,41.45
4,79,39.17
4,80,40.71
4,81,49.45
4,82,39.45
4,83,48.81
4,84,46.09
4,85,41.89
4,86,48.11
4,87,50.19
4,88,41.86
4,89,45.88
4,90,41.86
4,91,43.39
4,92,41.89
4,93,44.88
4,94,49.87
4,95,43.96
4,96,45.39
4,97,44.04
4,98,46.88
4,99,47.50
4,100,41.89
8,1,44.49
8,2,43.87
8,3,50.18
8,4,41.56
8,5,47.81
8,6,39.86
8,7,49.62
8,8,46.17
8,9,41.36
8,10,47.35
8,11,42.89
8,12,45.54
8,13,44.66
8,14,42.43
8,15,49.37
8,16,64.30
8,17,40.16
8,18,48.87
8,19,44.83
8,20,49.58
8,21,47.38
8,22,47.27
8,23,42.53
8,24,50.79
8,25,41.85
8,26,40.65
8,27,43.68
8,28,43.89
8,29,41.24
8,30,48.95
8,31,46.27
8,32,41.11
8,33,44.30
8,34,45.13
8,35,40.19
8,36,46.39
8,37,46.91
8,38,41.57
8,39,47.87
8,40,43.90
8,41,44.94
8,42,45.21
8,43,40.89
8,44,47.47
8,45,48.64
8,46,47.81
8,47,43.62
8,48,49.67
8,49,41.02
8,50,43.88
8,51,43.83
8,52,44.87
8,53,41.79
8,54,47.86
8,55,42.96
8,56,48.68
8,57,43.35
8,58,40.44
8,59,43.22
8,60,49.73
8,61,47.11
8,62,44.53
8,63,42.22
8,64,41.55
8,65,49.87
8,66,44.96
8,67,41.21
8,68,43.82
8,69,40.40
8,70,50.95
8,71,39.86
8,72,49.87
8,73,45.29
8,74,47.87
8,75,40.82
8,76,43.63
8,77,43.36
8,78,40.36
8,79,50.17
8,80,40.53
8,81,45.17
8,82,43.32
8,83,41.63
8,84,49.87
8,85,49.54
8,86,45.47
8,87,40.25
8,88,42.49
8,89,49.88
8,90,48.47
8,91,39.86
8,92,47.53
8,93,41.23
8,94,46.77
8,95,45.37
8,96,49.56
8,97,43.62
8,98,48.15
8,99,39.68
8,100,45.63
12,1,46.50
12,2,44.38
12,3,47.84
12,4,40.51
12,5,47.37
12,6,40.40
12,7,48.50
12,8,43.96
12,9,42.52
12,10,42.30
12,11,40.51
12,12,44.07
12,13,39.82
12,14,43.69
12,15,47.49
12,16,49.14
12,17,49.87
12,18,41.71
12,19,39.96
12,20,44.30
12,21,44.75
12,22,44.92
12,23,39.89
12,24,48.87
12,25,40.10
12,26,49.46
12,27,46.94
12,28,50.13
12,29,41.81
12,30,45.38
12,31,39.71
12,32,46.46
12,33,41.44
12,34,42.81
12,35,44.39
12,36,42.62
12,37,48.81
12,38,45.31
12,39,43.84
12,40,49.87
12,41,40.30
12,42,39.89
12,43,41.81
12,44,45.50
12,45,51.14
12,46,49.20
12,47,46.61
12,48,41.64
12,49,40.89
12,50,44.88
12,51,48.97
12,52,44.63
12,53,48.47
12,54,47.85
12,55,46.54
12,56,45.91
12,57,44.47
12,58,47.60
12,59,45.62
12,60,44.88
12,61,47.35
12,62,42.88
12,63,43.81
12,64,41.84
12,65,49.42
12,66,46.38
12,67,46.18
12,68,40.85
12,69,47.87
12,70,47.87
12,71,39.85
12,72,44.23
12,73,49.13
12,74,45.45
12,75,46.04
12,76,43.78
12,77,43.47
12,78,40.58
12,79,47.63
12,80,41.30
12,81,41.90
12,82,47.87
12,83,44.96
12,84,44.88
12,85,39.93
12,86,42.16
12,87,49.82
12,88,48.99
12,89,40.85
12,90,41.38
12,91,50.34
12,92,46.49
12,93,47.28
12,94,45.85
12,95,43.72
12,96,46.88
12,97,50.78
12,98,43.33
12,99,47.41
12,100,41.30
16,1,46.00
16,2,48.89
16,3,44.43
16,4,40.35
16,5,48.55
16,6,48.39
16,7,49.69
16,8,39.90
16,9,47.51
16,10,39.53
16,11,46.35
16,12,46.74
16,13,42.52
16,14,47.09
16,15,42.91
16,16,47.38
16,17,49.70
16,18,46.38
16,19,47.87
16,20,46.80
16,21,42.44
16,22,49.17
16,23,48.21
16,24,49.11
16,25,40.68
16,26,41.70
16,27,45.38
16,28,48.55
16,29,44.75
16,30,49.40
16,31,48.87
16,32,47.04
16,33,40.89
16,34,48.99
16,35,41.66
16,36,41.47
16,37,49.94
16,38,48.54
16,39,44.40
16,40,43.99
16,41,42.00
16,42,40.83
16,43,49.95
16,44,48.98
16,45,51.64
16,46,46.88
16,47,43.13
16,48,39.78
16,49,43.53
16,50,46.88
16,51,39.51
16,52,41.61
16,53,42.92
16,54,49.17
16,55,48.01
16,56,47.03
16,57,38.27
16,58,42.10
16,59,42.85
16,60,41.39
16,61,47.66
16,62,41.08
16,63,46.44
16,64,44.48
16,65,46.04
16,66,45.09
16,67,40.74
16,68,49.87
16,69,39.89
16,70,43.88
16,71,48.64
16,72,47.87
16,73,45.84
16,74,43.58
16,75,41.88
16,76,42.97
16,77,40.39
16,78,39.54
16,79,47.74
16,80,40.97
16,81,41.83
16,82,43.05
16,83,42.10
16,84,43.89
16,85,46.94
16,86,41.18
16,87,44.23
16,88,44.89
16,89,48.87
16,90,41.90
16,91,44.67
16,92,42.49
16,93,46.39
16,94,49.61
16,95,46.68
16,96,48.85
16,97,47.29
16,98,46.30
16,99,46.02
16,100,39.58
20,1,49.81
20,2,47.59
20,3,46.45
20,4,47.30
20,5,48.78
20,6,42.82
20,7,42.93
20,8,40.71
20,9,42.27
20,10,49.35
20,11,46.95
20,12,46.45
