NodeCount,Iteration,ConsensusLatency_ms
4,1,39.61
4,2,40.18
4,3,33.45
4,4,33.17
4,5,26.07
4,6,43.68
4,7,28.96
4,8,39.89
4,9,39.38
4,10,42.38
4,11,46.56
4,12,45.25
4,13,39.64
4,14,45.87
4,15,48.07
4,16,39.06
4,17,45.38
4,18,38.20
4,19,44.83
4,20,38.77
4,21,46.32
4,22,45.15
4,23,41.85
4,24,46.33
4,25,47.40
4,26,46.22
4,27,40.44
4,28,46.73
4,29,47.42
4,30,45.49
4,31,39.18
4,32,47.68
4,33,38.86
4,34,39.74
4,35,41.80
4,36,37.48
4,37,42.34
4,38,42.23
4,39,48.62
4,40,42.28
4,41,47.74
4,42,48.09
4,43,43.09
4,44,47.33
4,45,43.42
4,46,43.04
4,47,41.39
4,48,46.45
4,49,47.08
4,50,42.39
4,51,44.28
4,52,45.24
4,53,47.54
4,54,42.04
4,55,48.91
4,56,42.44
4,57,38.15
4,58,38.28
4,59,39.54
4,60,39.53
4,61,40.86
4,62,44.20
4,63,42.40
4,64,44.93
4,65,39.37
4,66,46.58
4,67,38.67
4,68,47.32
4,69,43.69
4,70,39.18
4,71,39.93
4,72,44.91
4,73,46.91
4,74,48.67
4,75,47.21
4,76,38.52
4,77,38.51
4,78,39.79
4,79,39.81
4,80,40.74
4,81,47.78
4,82,38.43
4,83,44.08
4,84,38.95
4,85,45.59
4,86,39.81
4,87,39.03
4,88,46.56
4,89,42.62
4,90,38.66
4,91,44.29
4,92,47.83
4,93,40.58
4,94,40.18
4,95,41.22
4,96,47.31
4,97,48.14
4,98,46.13
4,99,47.67
4,100,42.22
8,1,39.66
8,2,47.45
8,3,39.36
8,4,45.71
8,5,45.95
8,6,47.99
8,7,39.07
8,8,46.71
8,9,47.67
8,10,48.90
8,11,39.34
8,12,47.26
8,13,46.39
8,14,40.94
8,15,39.39
8,16,43.90
8,17,39.85
8,18,41.41
8,19,38.84
8,20,46.52
8,21,43.91
8,22,40.64
8,23,39.08
8,24,39.87
8,25,38.86
8,26,47.74
8,27,38.96
8,28,47.13
8,29,37.55
8,30,38.59
8,31,39.44
8,32,47.93
8,33,40.84
8,34,41.21
8,35,47.48
8,36,48.36
8,37,44.03
8,38,39.60
8,39,45.79
8,40,48.85
8,41,46.26
8,42,48.56
8,43,39.36
8,44,48.91
