NodeCount,Iteration,ElectionLatency_ms
4,1,332.31
4,2,310.17
4,3,322.48
4,4,320.90
4,5,308.33
4,6,365.07
4,7,324.72
4,8,332.00
4,9,341.35
4,10,309.38
4,11,333.23
4,12,317.56
4,13,311.52
4,14,319.03
4,15,321.15
4,16,310.45
4,17,309.33
4,18,337.30
4,19,321.86
4,20,321.66
8,1,322.91
8,2,329.55
8,3,313.63
8,4,313.15
8,5,320.77
8,6,314.81
8,7,373.93
8,8,325.39
8,9,312.61
8,10,323.00
8,11,332.20
8,12,315.21
8,13,334.01
8,14,330.52
8,15,322.03
8,16,327.15
8,17,312.99
8,18,312.40
8,19,328.02
8,20,329.85
12,1,332.64
12,2,335.32
12,3,358.59
12,4,329.08
12,5,325.35
12,6,440.37
12,7,346.04
12,8,321.14
12,9,319.64
12,10,330.04
12,11,393.23
12,12,333.41
12,13,313.61
12,14,357.93
12,15,344.68
12,16,335.47
12,17,314.48
12,18,341.97
12,19,363.50
12,20,337.98
16,1,333.99
16,2,361.21
16,3,377.27
16,4,320.75
16,5,351.44
16,6,373.31
16,7,322.56
16,8,344.58
16,9,350.54
16,10,376.24
16,11,358.30
16,12,356.00
16,13,333.74
16,14,363.48
16,15,356.40
16,16,335.89
16,17,320.63
16,18,319.89
16,19,319.70
16,20,328.72
20,1,366.92
20,2,332.61
20,3,363.49
20,4,358.62
20,5,357.61
20,6,385.80
20,7,376.80
20,10,558.88
20,11,478.27
20,12,983.48
20,13,331.01
20,14,415.86
20,15,353.53
20,16,458.28
20,17,379.84
20,18,373.20
20,20,381.26
24,1,354.43
24,5,517.30
24,6,437.80
24,7,371.58
24,8,358.99
24,9,747.01
24,10,401.14
24,11,494.73
24,12,838.18
24,13,446.03
24,14,407.14
24,17,359.30
24,18,653.97
24,19,407.62
24,20,498.62
