NodeCount,Iteration,ElectionLatency_ms
4,1,65.48
4,2,73.55
4,3,53.83
4,4,63.64
4,5,63.39
4,6,74.42
4,7,76.39
4,8,65.63
4,9,75.72
4,10,86.82
4,11,10.97
4,12,64.54
4,13,76.51
4,14,52.19
4,15,76.94
4,16,65.23
4,17,75.35
4,18,63.99
4,19,65.83
4,20,86.86
4,21,63.58
4,22,65.22
4,23,65.80
4,24,65.25
4,25,54.23
4,26,65.82
4,27,65.76
4,28,11.03
4,29,64.39
4,30,62.91
4,31,65.35
4,32,54.04
4,33,86.73
4,34,54.83
4,35,53.78
4,36,75.42
4,37,76.31
4,38,85.76
4,39,63.10
4,40,65.22
4,41,73.60
4,42,63.90
4,43,54.05
4,44,54.74
4,45,74.91
4,46,63.34
4,47,65.32
4,48,74.32
4,49,54.07
4,50,54.85
4,51,54.87
4,52,10.96
4,53,84.21
4,54,64.87
4,55,65.13
4,56,63.70
4,57,64.20
4,58,54.37
4,59,76.65
4,60,87.28
4,61,65.14
4,62,65.87
4,63,64.38
4,64,64.80
4,65,87.32
4,66,65.83
4,67,65.66
4,68,63.84
4,69,65.42
4,70,10.90
4,71,64.90
4,72,74.17
4,73,64.36
4,74,53.78
4,75,64.50
4,76,52.81
4,77,63.18
4,78,53.29
4,79,53.40
4,80,130.05
4,81,95.99
4,82,74.64
4,83,96.64
4,84,73.92
4,85,54.52
4,86,63.70
4,87,54.97
4,88,54.86
4,89,65.36
4,90,64.52
4,91,75.12
4,92,74.99
4,93,64.50
4,94,63.03
4,95,77.79
4,96,174.97
4,97,76.27
4,98,64.82
4,99,75.90
4,100,54.87
8,1,65.43
8,2,54.86
8,3,54.56
8,4,65.43
8,5,65.74
8,6,54.82
8,7,65.07
8,8,65.78
8,9,65.14
8,10,65.38
8,11,64.91
8,12,65.75
8,13,54.19
8,14,54.08
8,15,53.94
8,16,65.25
8,17,54.02
8,18,64.13
8,19,64.61
8,20,54.36
8,21,64.51
8,22,63.70
8,23,53.18
8,24,53.50
8,25,64.39
8,26,64.67
8,27,54.86
8,28,53.34
8,29,65.60
8,30,54.82
8,31,65.82
8,32,64.64
8,33,171.13
8,34,55.85
8,35,64.93
8,36,54.14
8,37,53.47
8,38,65.19
8,39,56.04
8,40,11.97
8,41,60.36
8,42,11.66
8,43,56.18
8,44,64.61
8,45,64.84
8,46,63.16
8,47,54.53
8,48,76.52
8,49,54.85
8,50,63.29
8,51,64.86
8,52,63.88
8,53,54.15
8,54,63.96
8,55,54.05
8,56,63.32
8,57,64.77
8,58,54.70
8,59,54.60
8,60,64.91
8,61,65.02
8,62,75.46
8,63,54.20
8,64,53.91
8,65,63.30
8,66,54.22
8,67,53.37
8,68,54.30
8,69,63.90
8,70,118.36
8,71,76.67
8,72,65.74
8,73,63.08
8,74,64.48
8,75,53.10
8,76,53.90
8,77,64.23
8,78,65.46
8,79,87.35
8,80,53.65
8,81,64.14
8,82,65.34
8,83,64.46
8,84,65.66
8,85,75.96
8,86,76.80
8,87,52.59
8,88,64.84
8,89,65.67
8,90,65.83
8,91,64.25
8,92,54.44
8,93,53.32
8,94,54.37
8,95,53.74
8,96,54.15
8,97,54.32
8,98,54.36
8,99,54.65
8,100,75.35
12,1,90.76
12,2,54.41
12,3,53.76
12,4,65.56
12,5,108.20
12,6,65.53
12,7,54.15
12,8,65.11
12,9,52.56
12,10,63.45
12,11,53.40
12,12,65.34
12,13,54.30
12,14,54.55
12,15,53.53
12,16,11.97
12,17,64.13
12,18,63.25
12,19,53.78
12,20,52.90
12,21,64.92
12,22,54.11
12,23,54.35
12,24,65.20
12,25,65.47
12,26,54.41
12,27,54.68
12,28,53.41
12,29,130.03
12,30,63.90
12,31,64.78
12,32,53.64
12,33,54.05
12,34,54.45
12,35,65.70
12,36,138.23
12,37,64.86
12,38,64.82
12,39,54.50
12,40,54.81
12,41,52.35
12,42,53.51
12,43,52.97
12,44,54.13
12,45,54.06
12,46,54.41
12,47,64.38
12,48,54.77
12,49,66.32
12,50,65.52
12,51,65.10
12,52,63.88
12,53,64.84
12,54,76.62
12,55,64.63
12,56,54.35
12,57,54.56
12,58,54.83
12,59,54.85
12,60,54.28
12,61,64.28
12,62,64.47
12,63,64.88
12,64,63.30
12,65,53.99
12,66,65.82
12,67,53.18
12,68,65.28
12,69,53.98
12,70,64.31
12,71,64.64
12,72,52.70
12,73,64.99
12,74,66.93
12,75,64.48
12,76,65.27
12,77,65.34
12,78,54.03
12,79,53.58
12,80,55.58
12,81,54.52
12,82,54.48
12,83,64.92
12,84,65.33
12,85,54.05
12,86,63.81
12,87,54.68
12,88,54.30
12,89,64.46
12,90,64.01
12,91,54.54
12,92,65.34
12,93,64.26
12,94,65.45
12,95,65.49
12,96,54.23
12,97,54.91
12,98,54.10
12,99,63.46
12,100,65.11
16,1,149.53
16,2,53.12
16,3,65.22
16,4,53.87
16,5,13.30
16,6,63.29
16,7,54.33
16,8,53.36
16,9,53.90
16,10,54.44
16,11,64.57
16,12,65.26
16,13,64.24
16,14,54.60
16,15,127.39
16,16,54.54
16,17,54.27
16,18,52.87
16,19,65.28
16,20,53.49
16,21,53.23
16,22,63.39
16,23,64.60
16,24,62.26
16,25,65.74
16,26,53.98
16,27,54.85
16,28,54.19
16,29,54.06
16,30,63.07
16,31,53.72
16,32,54.85
16,33,11.59
16,34,53.44
16,35,54.74
16,36,54.14
16,37,54.81
16,38,64.50
16,39,65.26
16,40,65.56
16,41,64.75
16,42,53.85
16,43,54.78
16,44,55.08
16,45,65.64
16,46,54.39
16,47,65.38
16,48,54.70
16,49,64.93
16,50,64.34
16,51,54.60
16,52,54.37
16,53,54.01
16,54,54.85
16,55,54.03
16,56,53.50
16,57,53.22
16,58,65.26
16,59,53.86
16,60,128.91
16,61,64.18
16,62,53.77
16,63,65.82
16,64,54.76
16,65,53.50
16,66,130.34
16,67,64.14
16,68,54.04
16,69,54.77
16,70,54.53
16,71,64.35
16,72,53.47
16,73,63.85
16,74,66.00
16,75,64.47
16,76,54.43
16,77,54.50
16,78,53.53
16,79,54.86
16,80,53.73
16,81,65.47
16,82,11.67
16,83,62.01
16,84,53.11
16,85,54.06
16,86,54.93
16,87,54.86
16,88,65.13
16,89,54.33
16,90,65.84
16,91,63.65
16,92,64.31
16,93,53.82
16,94,55.05
16,95,54.78
16,96,54.29
16,97,54.75
16,98,54.90
16,99,54.56
16,100,65.92
20,1,53.92
20,2,54.35
20,3,63.14
20,4,55.36
20,5,53.83
20,6,65.40
20,7,63.86
20,8,65.22
20,9,64.43
20,10,54.85
20,11,129.45
20,12,52.69
20,13,54.90
20,14,52.17
20,15,53.81
20,16,53.33
20,17,53.86
20,18,53.41
20,19,11.34
20,20,64.10
20,21,64.15
20,22,66.08
20,23,11.84
20,24,54.36
20,25,54.39
20,26,55.14
20,27,53.86
20,28,11.95
20,29,65.15
20,30,54.38
20,31,55.44
20,32,65.33
20,33,55.06
20,34,64.44
20,35,75.23
20,36,54.02
20,37,53.96
20,38,54.30
20,39,11.51
20,40,65.18
20,41,53.84
20,42,55.13
20,43,54.89
20,44,10.97
20,45,55.10
20,46,54.41
20,47,65.93
20,48,63.42
20,49,65.40
20,50,11.63
20,51,54.55
20,52,53.77
20,53,52.94
20,54,65.49
20,55,54.29
20,56,53.91
20,57,64.50
20,58,53.85
20,59,54.68
20,60,54.77
20,61,65.80
20,62,53.73
20,63,11.38
20,64,54.51
20,65,54.88
20,66,54.96
20,67,54.36
20,68,54.86
20,69,54.30
20,70,53.15
20,71,65.08
20,72,54.68
20,73,54.03
20,74,64.36
20,75,54.82
20,76,54.37
20,77,54.92
20,78,54.27
20,79,54.85
20,80,65.75
20,81,54.97
20,82,54.06
20,83,52.84
20,84,64.56
20,85,53.51
20,86,54.25
20,87,54.32
20,88,63.92
20,89,65.26
20,90,64.29
20,91,53.95
20,92,54.37
20,93,63.83
20,94,54.07
20,95,64.86
20,96,55.24
20,97,64.97
20,98,64.23
20,99,55.85
20,100,54.44
24,1,11.05
24,2,0.92
24,3,55.28
24,4,55.60
24,5,55.57
24,6,12.01
24,7,10.99
24,8,12.16
24,9,12.96
24,10,3.99
24,11,54.54
24,12,54.51
24,13,54.32
24,14,54.37
24,15,63.99
24,16,54.59
24,17,55.19
24,18,53.48
24,19,11.97
24,20,54.86
24,21,54.53
24,22,54.49
24,23,54.11
24,24,54.88
24,25,11.97
