延迟(ms),丢包率,切换时间(秒),成功,原DC,新DC
50,0.00,0.40,0,1,0
50,0.00,0.30,1,0,1
50,0.00,0.40,0,1,0
50,0.00,0.40,1,1,1
50,0.00,0.30,1,0,1
50,0.00,0.60,0,1,0
50,0.00,0.40,0,1,0
50,0.00,0.30,1,0,1
50,0.00,0.40,1,0,1
50,0.00,0.30,1,0,1
50,0.00,0.40,1,1,1
50,0.00,0.20,0,0,0
50,0.00,0.50,1,1,1
50,0.00,0.40,0,1,0
50,0.00,0.50,0,0,0
50,0.00,0.30,1,0,1
50,0.00,0.30,1,1,1
50,0.00,0.30,1,0,1
50,0.00,0.30,0,1,0
50,0.00,0.30,0,0,0
50,0.00,0.40,0,1,0
50,0.00,0.30,1,1,1
50,0.00,0.20,0,1,0
50,0.00,0.40,0,1,0
50,0.00,0.20,0,0,0
50,0.00,0.30,1,1,1
50,0.00,0.30,1,0,1
50,0.00,0.40,0,0,0
50,0.00,0.40,1,0,1
50,0.00,0.30,0,0,0
50,0.00,0.30,0,0,0
50,0.00,0.30,1,0,1
50,0.00,0.30,1,0,1
50,0.00,0.50,1,0,1
50,0.00,0.30,1,0,1
50,0.00,0.40,1,0,1
50,0.00,0.40,0,0,0
50,0.00,0.40,1,0,1
50,0.00,0.30,1,0,1
50,0.00,0.20,1,0,1
50,0.00,0.40,1,0,1
50,0.00,0.40,1,0,1
50,0.00,0.40,1,0,1
50,0.00,0.41,0,1,0
50,0.00,0.30,1,0,1
50,0.00,0.40,1,0,1
50,0.00,0.40,0,1,0
50,0.00,0.40,1,1,1
50,0.00,0.30,0,0,0
50,0.00,0.40,1,0,1
50,0.00,0.30,0,0,0
50,0.00,0.30,0,1,0
50,0.00,0.40,1,1,1
50,0.00,0.30,0,1,0
50,0.00,0.80,0,0,0
50,0.00,0.30,1,0,1
50,0.00,0.40,0,1,0
50,0.00,0.30,0,0,0
50,0.00,0.30,0,0,0
50,0.00,0.30,0,1,0
50,0.00,0.30,1,1,1
50,0.00,0.40,0,1,0
50,0.00,0.30,1,1,1
50,0.00,0.40,1,1,1
50,0.00,0.30,0,1,0
50,0.00,0.30,1,0,1
50,0.00,0.30,1,0,1
50,0.00,0.30,0,0,0
50,0.00,0.30,1,0,1
50,0.00,0.30,0,1,0
50,0.00,0.30,0,1,0
50,0.00,0.40,0,1,0
50,0.00,0.40,0,1,0
50,0.00,0.30,0,1,0
50,0.00,0.30,1,1,1
50,0.00,0.30,1,1,1
50,0.00,0.40,1,1,1
50,0.00,0.30,1,1,1
50,0.00,0.30,1,1,1
50,0.00,0.30,1,0,1
50,0.00,0.30,0,0,0
50,0.00,0.40,1,0,1
50,0.00,0.40,1,0,1
50,0.00,0.30,0,0,0
50,0.00,0.30,0,0,0
50,0.00,0.30,1,0,1
50,0.00,0.30,1,1,1
50,0.00,0.40,0,0,0
50,0.00,0.30,0,0,0
50,0.00,0.40,1,1,1
50,0.00,0.30,0,0,0
50,0.00,0.50,0,0,0
50,0.00,0.30,0,0,0
50,0.00,0.40,0,1,0
50,0.00,0.30,1,1,1
50,0.00,0.30,0,0,0
50,0.00,0.30,0,1,0
50,0.00,0.30,0,0,0
50,0.00,0.40,1,0,1
50,0.00,0.30,1,0,1
50,0.01,0.30,0,0,0
50,0.01,0.30,0,0,0
50,0.01,0.50,1,0,1
50,0.01,0.30,0,1,0
50,0.01,0.40,1,1,1
50,0.01,0.30,0,1,0
50,0.01,0.30,1,1,1
50,0.01,0.30,0,1,0
50,0.01,0.30,1,1,1
50,0.01,0.50,1,0,1
50,0.01,0.40,1,1,1
50,0.01,0.30,1,0,1
50,0.01,0.30,0,1,0
50,0.01,0.20,1,0,1
50,0.01,0.30,1,0,1
50,0.01,0.40,1,0,1
50,0.01,0.40,0,1,0
50,0.01,0.40,1,1,1
50,0.01,0.20,0,0,0
50,0.01,0.30,0,0,0
50,0.01,0.30,1,1,1
50,0.01,0.20,1,0,1
50,0.01,0.30,0,0,0
50,0.01,0.30,1,0,1
50,0.01,0.40,1,0,1
50,0.01,0.40,1,1,1
50,0.01,0.30,0,1,0
50,0.01,0.30,1,1,1
50,0.01,0.30,0,0,0
50,0.01,0.30,0,1,0
50,0.01,0.40,1,1,1
50,0.01,0.30,0,1,0
50,0.01,0.30,0,1,0
50,0.01,0.40,0,0,0
50,0.01,0.30,1,1,1
50,0.01,0.30,1,1,1
50,0.01,0.40,1,0,1
50,0.01,0.30,1,0,1
50,0.01,0.40,1,1,1
50,0.01,0.50,0,1,0
50,0.01,0.30,1,0,1
50,0.01,0.40,1,1,1
50,0.01,0.30,0,1,0
50,0.01,0.40,1,1,1
50,0.01,0.30,0,1,0
50,0.01,0.60,1,1,1
50,0.01,0.40,1,0,1
50,0.01,0.30,1,1,1
50,0.01,0.40,1,0,1
50,0.01,0.40,0,0,0
50,0.01,0.30,1,1,1
50,0.01,0.40,0,0,0
50,0.01,0.40,1,0,1
50,0.01,0.40,1,0,1
50,0.01,0.30,0,1,0
50,0.01,0.30,1,1,1
50,0.01,0.30,0,1,0
50,0.01,0.30,0,1,0
50,0.01,0.40,1,0,1
